,title,label,num_label,processed_text
105,Stockroom Clerk - Bus,CLASS13,12,stockroom clerk bus
106,Electrical Worker,CLASS13,12,electrical worker
107,"Administrator, Procurement",CLASS7,6,administrator procurement
108,Specification/Quality Assurance Engineer IV,CLASS8,7,specificationquality assurance engineer iv
109,"Senior Coordinator, Construction Safety",CLASS13,12,senior coordinator construction safety
110,"Senior Coordinator, HR Marketing, Outreach, & Engagement",CLASS6,5,senior coordinator hr marketing outreach engagement
111,Full-Time Temporary Legal Assistant,CLASS9,8,fulltime temporary legal assistant
112,"Coordinator, Special Services Planning",CLASS13,12,coordinator special service planning
113,Accountant I,CLASS10,9,accountant
114,Accountant II,CLASS10,9,accountant ii
115,Grant Accountant I,CLASS10,9,grant accountant
116,"Director, Internal Audit",CLASS10,9,director internal audit
117,Planner II-Service Analysis (7550),CLASS13,12,planner iiservice analysis
118,Project Manager I (0355),CLASS5,4,project manager
119,Bus Mechanic - ED (5401),CLASS13,12,bus mechanic ed
120,Director Project Controls (0002B),CLASS10,9,director project control b
121,WSA Rail Equipment Mechanic (5403A),CLASS13,12,wsa rail equipment mechanic
122,Supv Signal Systems (6102),CLASS13,12,supv signal system
123,Customer Information Rep (0402),CLASS2,1,customer information rep
124,Fare Enforcement Officer (0443),CLASS13,12,fare enforcement officer
125,Apprentice Police Telecommunic (0551),CLASS13,12,apprentice police telecommunic
126,Vice President Bus Operations (0867),CLASS13,12,vice president bus operation
127,VP Rail Operations (0873A),CLASS13,12,vp rail operation
128,Platform Specialist III-ITS (7558A),CLASS5,4,platform specialist iiiits
129,Engineering Support Specialist (9952A),CLASS11,10,engineering support specialist
130,Director of Total Rewards (0258A),CLASS1,0,director total reward
131,Financial Resource Analyst (0476E),CLASS10,9,financial resource analyst e
132,Benefit Analyst II (7538A),CLASS1,0,benefit analyst ii
133,Trans Supv-Training (0376),CLASS1,0,trans supvtraining
134,Bus Student Operator (5200),CLASS13,12,bus student operator
135,Applications Administrator-Inf (7560E),CLASS5,4,application administratorinf e
136,Material Mgmt Tech - Dist (0418),CLASS7,6,material mgmt tech dist
137,Contract Comp Field Supervisor (1010A),CLASS1,0,contract comp field supervisor
138,AVP Risk Management (1029),CLASS3,2,avp risk management
139,Rail Student Operator (1068B),CLASS13,12,rail student operator b
140,Lead Track Maintainer-CROF (5701),CLASS13,12,lead track maintainercrof
141,Asst Mgr Bus Dispatch (0346),CLASS13,12,asst mgr bus dispatch
142,Sr Mgr Rail Ops Training & Dev (0332S),CLASS1,0,sr mgr rail ops training dev
143,Director Systems Safety (7534B),CLASS8,7,director system safety b
144,Service Desk II (7557B),CLASS13,12,service desk ii b
145,Mobility Mgt. Services Rep (5209A),CLASS13,12,mobility mgt service rep
146,Comm Technician -NWROF (1048),CLASS13,12,comm technician nwrof
147,Project Mgr I-Service Planning (0940A),CLASS13,12,project mgr iservice planning
148,Product Manager-ERP (7571C),CLASS5,4,product managererp c
149,Supv-PA/Facility Services (0481),CLASS13,12,supvpafacility service
150,Project Mgr IV-Systems Enginee (0575B),CLASS8,7,project mgr ivsystems enginee b
151,Customer Support Rep (7525),CLASS2,1,customer support rep
152,Coordinator-Bus Ops (0623B),CLASS13,12,coordinatorbus ops b
153,Sr Mgr Marketing (9945A),CLASS6,5,sr mgr marketing
154,Facility Mechanic - ED (5501),CLASS13,12,facility mechanic ed
155,Executive Assistant 2 (0195A),CLASS13,12,executive assistant
156,DART Police Officer Apprentice (0061),CLASS13,12,dart police officer apprentice
157,Coordinator-Maint PA (0478),CLASS13,12,coordinatormaint pa
158,Asst Mgr Ops/Contract Compl (5210),CLASS3,2,asst mgr opscontract compl
159,Supv Retail Stores Merch (9937),CLASS6,5,supv retail store merch
160,Program Mgr III (5211),CLASS5,4,program mgr iii
161,Lead Bus Mechanic - NW (5705),CLASS13,12,lead bus mechanic nw
162,Executive Assistant 3 (0767),CLASS13,12,executive assistant
163,Executive Assistant 2 (7535A),CLASS13,12,executive assistant
164,Bus Electronic Technician - ED (0192A),CLASS13,12,bus electronic technician ed
165,Bus Student Operator P/T (3347),CLASS13,12,bus student operator pt
166,Analyst III-Planning Admin (7136),CLASS7,6,analyst iiiplanning admin
167,Supv-Rail Services (6119),CLASS13,12,supvrail service
168,Director of Talent Acquisition (5906C),CLASS1,0,director talent acquisition c
169,Service Desk I (7557A),CLASS13,12,service desk
170,Lead Mechanic-RCS (5710A),CLASS13,12,lead mechanicrcs
171,Sr Mgr System Safety & Start-u (0586A),CLASS8,7,sr mgr system safety startu
172,Mechanic - Central Support (5301),CLASS13,12,mechanic central support
173,Bus Dispatcher I (0375),CLASS13,12,bus dispatcher
174,Analyst IV-Revenue (7144A),CLASS10,9,analyst ivrevenue
175,VP Capital Design & Constr (7544),CLASS8,7,vp capital design constr
176,Manager-Service Desk (7564C),CLASS13,12,managerservice desk c
177,Applications Administrator-ERP (7574A),CLASS5,4,application administratorerp
178,AVP Capital Planning (1344),CLASS10,9,avp capital planning
179,Lead Mechanic-LRV (5710),CLASS13,12,lead mechaniclrv
180,LRV Structural Mechanic (5406),CLASS13,12,lrv structural mechanic
181,Internal Auditor III (0930),CLASS10,9,internal auditor iii
182,IT Systems Architect (7570A),CLASS5,4,system architect
183,Schedule Analyst III (0003),CLASS8,7,schedule analyst iii
184,Mechanic - Rail Cntrl Support (5502),CLASS13,12,mechanic rail cntrl support
185,Mechanic - Fare Equipment (5503),CLASS13,12,mechanic fare equipment
186,Maintainer - Traction Power-NW (9929),CLASS13,12,maintainer traction powernw
187,Facility Mechanic - NW (5501),CLASS13,12,facility mechanic nw
188,Material Cntrl Tech-Receiving (0418),CLASS13,12,material cntrl techreceiving
189,HR Representative I-Compensati (7548F),CLASS1,0,hr representative icompensati f
190,Sr Mgr Procurement (0279A),CLASS7,6,sr mgr procurement
191,Director of Bus Operations Sup (0886A),CLASS7,6,director bus operation sup
192,Asst General Counsel (1101I),CLASS9,8,asst general counsel
193,"Quality Review Specialist - HEDIS - January 3, 2023 Start Date (Temporary)",CLASS8,7,quality review specialist hedis january start date temporary
194,Public Affairs Manager,CLASS3,2,public affair manager
195,Project Manager - Technical,CLASS5,4,project manager technical
196,Production Designer,CLASS8,7,production designer
197,Project Manager ‚Äì Technical,CLASS5,4,project manager ‚äì technical
198,"Quality Review Specialist - HEDIS - January 2, 2023 Start Date (Temporary)",CLASS8,7,quality review specialist hedis january start date temporary
199,Reimbursement Analyst ‚Äì Rate Development,CLASS10,9,reimbursement analyst ‚äì rate development
200,Mental Health & Substance Use Disorder Services Data Quality Auditor,CLASS1,0,mental health substance use disorder service data quality auditor
201,Marketing Senior Manager - Acquisition,CLASS6,5,marketing senior manager acquisition
202,Special Needs Plan (SNP) Compliance Supervisor,CLASS3,2,special need plan snp compliance supervisor
203,Provider Relations Manager,CLASS13,12,provider relation manager
204,Preadmission Screening Coordinator,CLASS13,12,preadmission screening coordinator
205,Sales & Member Operations Specialist ‚Äì SNP,CLASS6,5,sale member operation specialist ‚äì snp
206,I-SNP Program Coordinator,CLASS13,12,isnp program coordinator
207,"Vice President, Information Technology & Digital Delivery",CLASS5,4,vice president information technology digital delivery
208,"Vice President, Configuration & Claims Operations (CCO)",CLASS13,12,vice president configuration claim operation cco
209,Utilization Review (UR) Supervisor – Outpatient,CLASS13,12,utilization review ur supervisor – outpatient
210,Utilization Management Liaison – MSS,CLASS13,12,utilization management liaison – ms
211,User Experience (UX) Design Specialist,CLASS5,4,user experience ux design specialist
212,UAT Analyst Super User,CLASS5,4,uat analyst super user
213,Template Designer,CLASS5,4,template designer
214,System Engineer Senior – Storage,CLASS5,4,system engineer senior – storage
215,Supplemental Benefits & Special Projects Manager,CLASS1,0,supplemental benefit special project manager
216,Software Engineer Senior – BizTalk,CLASS5,4,software engineer senior – biztalk
217,Software Engineer – Azure,CLASS5,4,software engineer – azure
218,Software Engineer - .NET,CLASS5,4,software engineer net
219,Software Analyst Senior,CLASS5,4,software analyst senior
220,SNP Sales Specialist,CLASS6,5,snp sale specialist
221,SNBC Program Manager,CLASS13,12,snbc program manager
222,Senior Software Engineer - ETL,CLASS5,4,senior software engineer etl
223,Senior Delegation Auditor,CLASS3,2,senior delegation auditor
224,Senior Database Administrator,CLASS5,4,senior database administrator
225,Senior Buyer,CLASS7,6,senior buyer
226,Security Engineer,CLASS5,4,security engineer
227,Sales Assistant - Broker (Multiple Openings),CLASS6,5,sale assistant broker multiple opening
228,Robotics Process Automation (RPA) Engineer Lead,CLASS5,4,robotics process automation rpa engineer lead
229,RFP Writer,CLASS13,12,rfp writer
230,Restricted Recipient Program Supervisor,CLASS13,12,restricted recipient program supervisor
231,Quality Improvement Specialist,CLASS8,7,quality improvement specialist
232,Quality Control Manager,CLASS8,7,quality control manager
233,QA Analyst (Multiple Openings),CLASS8,7,qa analyst multiple opening
234,Provider Demographics Specialist,CLASS13,12,provider demographic specialist
235,Provider Data Specialist – Non Contracted Providers,CLASS13,12,provider data specialist – non contracted provider
236,Provider Data Compliance Specialist,CLASS3,2,provider data compliance specialist
237,Provider Assistance Center (PAC) Representative – October 10th Start Date,CLASS13,12,provider assistance center pac representative – october th start date
238,Provider Assistance Center (PAC) Representative - July 11th Start Date,CLASS13,12,provider assistance center pac representative july th start date
239,Project Manager Senior,CLASS13,12,project manager senior
240,Project Lead - Strategic Partnerships,CLASS13,12,project lead strategic partnership
241,Privacy Officer,CLASS3,2,privacy officer
242,Portfolio and Resource Coordinator Lead (Temporary - 2 Week Assignment),CLASS13,12,portfolio resource coordinator lead temporary week assignment
243,Portfolio and Resource Coordinator,CLASS13,12,portfolio resource coordinator
244,Pharmacy Operations Manager,CLASS7,6,pharmacy operation manager
245,Pharmacy Operations Coordinator – Quality,CLASS7,6,pharmacy operation coordinator – quality
246,Pharmacy Navigator,CLASS13,12,pharmacy navigator
247,Payment Integrity and Policy Manager,CLASS10,9,payment integrity policy manager
248,Operations Business Analyst – Government Relations,CLASS3,2,operation business analyst – government relation
249,Operations Business Analyst,CLASS7,6,operation business analyst
250,MH & SUDS Operations Business Analyst,CLASS7,6,mh suds operation business analyst
251,Member Engagement Specialist – PMAP,CLASS13,12,member engagement specialist – pmap
252,Member Engagement Specialist – MSHO/MSC+ Refusal-Unable to Reach,CLASS13,12,member engagement specialist – mshomsc refusalunable reach
253,Member Engagement Specialist - Quality,CLASS6,5,member engagement specialist quality
254,Medicare Sales Specialist – Southwest Minnesota,CLASS6,5,medicare sale specialist – southwest minnesota
255,Medicare Sales Specialist - Northeast Minnesota,CLASS6,5,medicare sale specialist northeast minnesota
256,Medicare Government Programs Specialist,CLASS13,12,medicare government program specialist
257,Medicare Government Programs Manager,CLASS13,12,medicare government program manager
258,MBE Representative – Return Mail,CLASS13,12,mbe representative – return mail
259,MBE Reporting & Data Analyst,CLASS5,4,mbe reporting data analyst
260,MBE Enrollment Specialist,CLASS13,12,mbe enrollment specialist
261,MBE Enrollment Representative Senior,CLASS13,12,mbe enrollment representative senior
262,MBE Enrollment Representative - State,CLASS13,12,mbe enrollment representative state
263,MBE Billing Representative Senior,CLASS10,9,mbe billing representative senior
264,MBE Billing Representative,CLASS10,9,mbe billing representative
265,MBE Billing & Accounting Specialist,CLASS10,9,mbe billing accounting specialist
266,Marketing Project Manager - Digital,CLASS6,5,marketing project manager digital
267,Marketing Project Manager - Acquisitions,CLASS6,5,marketing project manager acquisition
268,Marketing Project Lead – Acquisition,CLASS6,5,marketing project lead – acquisition
269,Learning & Development Specialist Sr. - GuidingCare,CLASS1,0,learning development specialist sr guidingcare
270,Learning & Development Business Partner,CLASS1,0,learning development business partner
271,IT Business Partner,CLASS5,4,business partner
272,IT Asset Management Administrator,CLASS5,4,asset management administrator
273,Intake Coordinator – SNBC,CLASS7,6,intake coordinator – snbc
274,HealthRules Technical Project Lead,CLASS5,4,healthrules technical project lead
275,Health Promotion Program Manager,CLASS13,12,health promotion program manager
276,Graphic Designer Sr.,CLASS6,5,graphic designer sr
277,Equity & Inclusion Officer,CLASS1,0,equity inclusion officer
278,Customer Service Supervisor - Quality Reporting & Analytics,CLASS2,1,customer service supervisor quality reporting analytics
279,Customer Service Manager – Processes & Projects,CLASS2,1,customer service manager – process project
280,Credentialing Delegation Specialist,CLASS13,12,credentialing delegation specialist
281,Corporate Counsel,CLASS9,8,corporate counsel
282,Coordination of Benefits Specialist,CLASS1,0,coordination benefit specialist
283,Community Health Worker – Maternal & Child Health,CLASS13,12,community health worker – maternal child health
284,Community Health Worker (CHW) Intern,CLASS13,12,community health worker chw intern
285,Community Health Worker - Community Response Team,CLASS13,12,community health worker community response team
286,Provider Contract Manager – Iowa,CLASS13,12,provider contract manager – iowa
287,Product Specialist – Medicare,CLASS13,12,product specialist – medicare
288,Provider Relations Liaison - Elderly Waiver,CLASS13,12,provider relation liaison elderly waiver
289,Housing Specialist,CLASS13,12,housing specialist
290,Pharmacy Supervisor - Regulatory,CLASS13,12,pharmacy supervisor regulatory
291,Pharmacy Supervisor - Formulary,CLASS13,12,pharmacy supervisor formulary
292,Pharmacy Clinical Operations Coordinator,CLASS7,6,pharmacy clinical operation coordinator
293,Learning & Development Specialist – MBE,CLASS1,0,learning development specialist – mbe
294,Intake Specialist – MSS,CLASS7,6,intake specialist – ms
295,State Government Relations Specialist - Iowa,CLASS9,8,state government relation specialist iowa
296,Senior Technical Business Analyst - Prospective Payment Systems,CLASS5,4,senior technical business analyst prospective payment system
297,Quality Improvement Specialist (Internship),CLASS8,7,quality improvement specialist internship
298,MH & SUDS Utilization Management Supervisor,CLASS13,12,mh suds utilization management supervisor
299,"Provider Assistance Center (PAC) Representative – January 10, 2022 Start Date",CLASS13,12,provider assistance center pac representative – january start date
300,Purchasing Specialist,CLASS7,6,purchasing specialist
301,MH & SUDS Utilization Management Specialist,CLASS13,12,mh suds utilization management specialist
302,Intake Coordinator - Care Management,CLASS7,6,intake coordinator care management
303,SIU Senior Investigator,CLASS3,2,siu senior investigator
304,Utilization Management Manager - MH & SUDS,CLASS13,12,utilization management manager mh suds
305,Provider Contract Coordinator,CLASS13,12,provider contract coordinator
306,HR Operations Coordinator,CLASS1,0,hr operation coordinator
307,"Provider Assistance Center (PAC) Representative – January 3, 2022 Start Date",CLASS13,12,provider assistance center pac representative – january start date
308,Health Educator,CLASS13,12,health educator
309,Provider Contract Manager - Health Equity Network Advancement,CLASS13,12,provider contract manager health equity network advancement
310,Program Manager,CLASS13,12,program manager
311,Member Services Rep – Aspirus – Primary,CLASS13,12,member service rep – aspirus – primary
312,Member Services Rep – Aspirus – Auxillary,CLASS13,12,member service rep – aspirus – auxillary
313,Medicare Sales Specialist - Greater MN and WI,CLASS6,5,medicare sale specialist greater mn wi
314,Identity and Access Management Administrator,CLASS3,2,identity access management administrator
315,Quality Control Supervisor,CLASS8,7,quality control supervisor
316,Recruiter,CLASS1,0,recruiter
317,Security Analyst,CLASS5,4,security analyst
318,MSS Regulatory Specialist,CLASS3,2,ms regulatory specialist
319,MSS Oversight Manager,CLASS3,2,ms oversight manager
320,Medicare Marketing Representative-Greater MN and WI,CLASS6,5,medicare marketing representativegreater mn wi
321,Regulatory Compliance Lead,CLASS3,2,regulatory compliance lead
322,User Acceptance Testing (UAT) Analyst,CLASS5,4,user acceptance testing uat analyst
323,Senior Executive Assistant - Public Affairs,CLASS3,2,senior executive assistant public affair
324,"Quality Review Specialist (HEDIS Temporary Position: January 3, 2022-May 13, 2022)",CLASS8,7,quality review specialist hedis temporary position january may
325,Provider Data Compliance Analyst,CLASS3,2,provider data compliance analyst
326,Provider Communications Specialist - BPO,CLASS13,12,provider communication specialist bpo
327,Product Manager - Individual & Family Plans,CLASS5,4,product manager individual family plan
328,Paralegal,CLASS9,8,paralegal
329,Medicare Sales Specialist - Metro,CLASS6,5,medicare sale specialist metro
330,MBE Representative Senior – Medicare,CLASS13,12,mbe representative senior – medicare
331,MBE Representative - Medicare,CLASS13,12,mbe representative medicare
332,MBE Billing and Accounting Specialist,CLASS10,9,mbe billing accounting specialist
333,MBE Billing and Accounting Representative,CLASS10,9,mbe billing accounting representative
334,Marketing Communications Lead - Individual & Family Plans,CLASS6,5,marketing communication lead individual family plan
335,ITSM Configuration Management/Discovery Administrator,CLASS7,6,itsm configuration managementdiscovery administrator
336,Vendor Payment Solutions Coordinator,CLASS5,4,vendor payment solution coordinator
337,Software Engineer Sr. - ETL,CLASS5,4,software engineer sr etl
338,Senior Marketing Analyst,CLASS6,5,senior marketing analyst
339,Membership Enrollment Representative - State,CLASS13,12,membership enrollment representative state
340,MBE Specialist - Medicare,CLASS13,12,mbe specialist medicare
341,Utilization Review Specialist - MH & SUDS (Temporary - 6 Month Assignment),CLASS13,12,utilization review specialist mh suds temporary month assignment
342,Sales and Member Operations Specialist - Duluth,CLASS6,5,sale member operation specialist duluth
343,Senior Financial Analyst (Remote Position),CLASS10,9,senior financial analyst remote position
344,Senior Financial Analyst,CLASS10,9,senior financial analyst
345,Senior Financial Analyst - Run the Business,CLASS10,9,senior financial analyst run business
346,Provider Assistance Center (PAC) Representative - September 13th Start Date,CLASS13,12,provider assistance center pac representative september th start date
347,Treasury Analyst Senior,CLASS10,9,treasury analyst senior
348,Web Scrum Lead,CLASS5,4,web scrum lead
349,Provider Services Supervisor,CLASS13,12,provider service supervisor
350,Clinical Informaticist Lead,CLASS13,12,clinical informaticist lead
351,Provider Assistance Center (PAC) Representative - August 16th Start Date,CLASS13,12,provider assistance center pac representative august th start date
352,Proposal Writer,CLASS13,12,proposal writer
353,Membership Enrollment Representative,CLASS13,12,membership enrollment representative
354,Clinical Compliance Specialist - UM Delegate Oversight,CLASS3,2,clinical compliance specialist um delegate oversight
355,"Senior Executive Assistant - Legal, Compliance & Internal Audit",CLASS3,2,senior executive assistant legal compliance internal audit
356,Medicare Sales Specialist - EssentiaCare (Duluth Area),CLASS6,5,medicare sale specialist essentiacare duluth area
357,Financial Analyst Sr. - Encounters,CLASS10,9,financial analyst sr encounter
358,"Executive Assistant - Quality Management & Population Health, Pharmacy (Health Services)",CLASS13,12,executive assistant quality management population health pharmacy health service
359,Communications Lead - State Public Programs (SPP),CLASS6,5,communication lead state public program spp
360,Provider Assistance Center (PAC) Representative - August 9th Start Date,CLASS13,12,provider assistance center pac representative august th start date
361,Medicare Sales Specialist (Temporary - 4 Month Assignment),CLASS6,5,medicare sale specialist temporary month assignment
362,Federal Government Relations Manager,CLASS3,2,federal government relation manager
363,Clinical Quality and Compliance Specialist,CLASS3,2,clinical quality compliance specialist
364,Member Engagement Specialist - Part-Time (Temporary),CLASS6,5,member engagement specialist parttime temporary
365,Health Services Data Analyst,CLASS5,4,health service data analyst
366,Senior Contract Analyst - ACO (Remote Position),CLASS3,2,senior contract analyst aco remote position
367,Membership Billing Representative Senior,CLASS10,9,membership billing representative senior
368,Accounting Operations Specialist (Temporary - 6 Month Assignment),CLASS10,9,accounting operation specialist temporary month assignment
369,Accountant Senior (Temporary - 6 Month Assignment),CLASS10,9,accountant senior temporary month assignment
370,Membership Billing & Enrollment (MBE) Representative Senior,CLASS10,9,membership billing enrollment mbe representative senior
371,Payroll Specialist,CLASS10,9,payroll specialist
372,State Government Relations Specialist,CLASS3,2,state government relation specialist
373,Health and Racial Equity Intern,CLASS1,0,health racial equity intern
374,Accountant Senior,CLASS10,9,accountant senior
375,ServiceNow Developer,CLASS5,4,servicenow developer
376,Recruitment Specialist,CLASS1,0,recruitment specialist
377,Grid Connection Manager,CLASS8,7,grid connection manager
378,Deployment Center Test Lab Manager,CLASS4,3,deployment center test lab manager
379,Senior Site Reliability Engineer,CLASS4,3,senior site reliability engineer
380,Site Reliability Engineer,CLASS4,3,site reliability engineer
381,Automation Programme Manager,CLASS8,7,automation programme manager
382,Paid Media Executive,CLASS6,5,paid medium executive
383,Senior Garment Technologist,CLASS8,7,senior garment technologist
384,Senior Marketing Manager,CLASS6,5,senior marketing manager
385,Senior Graphic Designer,CLASS6,5,senior graphic designer
386,Senior Product Insight Analyst,CLASS6,5,senior product insight analyst
387,Digital Insight Lead,CLASS6,5,digital insight lead
388,Senior Paid Social Executive,CLASS6,5,senior paid social executive
389,Senior CRM Executive,CLASS6,5,senior crm executive
